,id,x_px,y_px,z_px,visibility,x,y,z
8,8,55,8,200,0.9999580383300781,0.3691275167785235,0.015296367112810707,0.24875621890547264
7,7,98,9,197,0.9999465942382812,0.6577181208053692,0.017208413001912046,0.24502487562189054
20,20,9,278,101,0.9533358216285706,0.06040268456375839,0.5315487571701721,0.1256218905472637
16,16,4,255,206,0.9756647944450378,0.026845637583892617,0.4875717017208413,0.2562189054726368
14,14,2,177,361,0.9890172481536865,0.013422818791946308,0.3384321223709369,0.4490049751243781
12,12,21,85,314,0.9999676942825317,0.14093959731543623,0.16252390057361377,0.39054726368159204
11,11,135,88,304,0.9999713897705078,0.9060402684563759,0.1682600382409178,0.3781094527363184
13,13,149,179,353,0.9940316081047058,1.0,0.3422562141491396,0.43905472636815923
15,15,145,257,173,0.992466151714325,0.9731543624161074,0.491395793499044,0.21517412935323382
19,19,140,278,60,0.9828932881355286,0.9395973154362416,0.5315487571701721,0.07462686567164178
24,24,42,252,511,0.9998602867126465,0.28187919463087246,0.4818355640535373,0.6355721393034826
23,23,106,254,527,0.9997983574867249,0.7114093959731543,0.48565965583174,0.6554726368159204
26,26,28,377,537,0.9967173933982849,0.18791946308724833,0.7208413001912046,0.667910447761194
25,25,114,377,583,0.994086503982544,0.7651006711409396,0.7208413001912046,0.7251243781094527
26,26,28,377,537,0.9967173933982849,0.18791946308724833,0.7208413001912046,0.667910447761194
28,28,21,483,767,0.9942169189453125,0.14093959731543623,0.9235181644359465,0.9539800995024875
32,32,10,523,564,0.987714409828186,0.06711409395973154,1.0,0.7014925373134329
27,27,120,488,797,0.9941990375518799,0.8053691275167785,0.9330783938814532,0.9912935323383084
31,31,141,523,594,0.989523708820343,0.9463087248322147,1.0,0.7388059701492538
