,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,297,348,-210,0.9997246861457825,-0.5459509209953776,-0.32311381038501935,-0.9359158645635044
7,0,7,364,314,-372,0.9999500513076782,-0.2473491927774976,-0.47464304560006293,-1.657908102941065
20,0,20,315,452,-992,0.9927337169647217,-0.4657295611756486,0.14038737968452566,-4.421088274509506
16,0,16,299,517,-883,0.9916969537734985,-0.5370374365709633,0.4300756234779913,-3.9353033733789253
14,0,14,279,677,-373,0.8846611380577087,-0.6261722808151065,1.1431543774311375,-1.662364845153272
12,0,12,322,476,-106,0.9999339580535889,-0.43453236569019843,0.2473491927774976,-0.47241467449395935
11,0,11,517,365,-199,0.9999939203262329,0.43453236569019843,-0.2473491927774976,-0.8868917002292256
13,0,13,675,333,-470,0.9950370192527771,1.1386976352189304,-0.38996494356812683,-2.0946688397373667
15,0,15,638,376,-909,0.9980370402336121,0.9737981733672653,-0.19832502844321878,-4.051178670896312
19,0,19,607,404,-1009,0.9973446726799011,0.8356391647888431,-0.0735362465014182,-4.496852892117028
24,0,24,460,764,-38,0.9999678134918213,0.18049805959439014,1.5308909498931607,-0.16935620406387222
23,0,23,589,751,38,0.999962568283081,0.7554178049691143,1.4729533011344675,0.16935620406387222
26,0,26,459,1030,-279,0.9903504252433777,0.17604131738218295,2.7163843783402664,-1.2434310772057986
25,0,25,572,1015,182,0.379342257976532,0.6796531873615924,2.649533245157159,0.8111270826217037
26,0,26,459,1030,-279,0.9903504252433777,0.17604131738218295,2.7163843783402664,-1.2434310772057986
28,0,28,423,1322,-321,0.9930605888366699,0.015598597742725073,4.017753104304758,-1.4306142501184995
32,0,32,516,1415,-661,0.9887562394142151,0.4300756234779913,4.432230130040025,-2.945906602268935
27,0,27,554,1141,801,0.4820815324783325,0.5994318275418635,3.2110827638952615,3.569850511977938
31,0,31,594,1242,675,0.6626862287521362,0.77770151603015,3.661213727328185,3.0083009932398355
