,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,255,135,-28,0.9998193383216858,-0.37392741933770185,-0.7867044406845155,-0.27194721406378314
7,0,7,300,132,-144,0.9999440908432007,0.06313060326480681,-0.8158416421913495,-1.3985856723280277
20,0,20,210,225,-501,0.8771025538444519,-0.8109854419402105,0.08741160452050173,-4.8659126516412625
16,0,16,202,251,-440,0.9362888932228088,-0.8886846459584342,0.33993401757972896,-4.273456221002307
14,0,14,210,330,-11,0.8425489664077759,-0.8109854419402105,1.1072136572596885,-0.10683640552505767
12,0,12,243,226,177,0.9994661211967468,-0.4904762253650375,0.0971240050227797,1.7190948889032007
11,0,11,344,206,-160,0.9999421834945679,0.4904762253650375,-0.0971240050227797,-1.553984080364475
13,0,13,380,309,-385,0.9972098469734192,0.8401226434470443,0.9032532467118511,-3.7392741933770184
15,0,15,275,248,-609,0.9909512996673584,-0.17967940929214243,0.31079681607289505,-5.914851905887284
19,0,19,247,224,-656,0.9767745137214661,-0.45162662335592557,0.07769920401822376,-6.3713347294943485
24,0,24,265,457,138,0.9993508458137512,-0.2768034143149221,2.3406885210489907,1.3403112693143597
23,0,23,334,453,-138,0.9997656941413879,0.39335222034225775,2.301838919039879,-1.3403112693143597
26,0,26,240,627,194,0.9146185517311096,-0.5196134268718714,3.9917966064362456,1.8842056974419261
25,0,25,331,634,-226,0.9922437071800232,0.36421501883542384,4.059783409952192,-2.195002513514821
26,0,26,240,627,194,0.9146185517311096,-0.5196134268718714,3.9917966064362456,1.8842056974419261
28,0,28,281,769,429,0.9292085766792297,-0.12140500627847463,5.370957477759717,4.166619815477249
32,0,32,213,812,301,0.9418584704399109,-0.7818482404333765,5.78859069935767,2.923432551185669
27,0,27,349,816,-176,0.9929963946342468,0.5390382278764273,5.8274403013667815,-1.7093824884009228
31,0,31,286,864,-406,0.990784764289856,-0.07284300376708477,6.293635525476124,-3.943234603924856
