,id,x_px,y_px,z_px,visibility,x,y,z
8,8,481,175,-400,0.9999984502792358,0.07402121256560332,-0.984803958481505,-2.574650871847072
7,7,550,196,-118,0.9999991655349731,0.5181484879592233,-0.8496347877095338,-0.7595220071948863
20,20,451,437,-1399,0.9969654679298401,-0.11907760282292709,0.7015923625783271,-9.004841424285134
16,16,415,465,-1266,0.9979702830314636,-0.35079618128916357,0.8818179236076222,-8.148770009395983
14,14,315,491,-799,0.9968987703323364,-0.9944588992509316,1.049170230277682,-5.1428651165145265
12,12,395,306,-399,0.9999908208847046,-0.47952872488151715,-0.14160579795158898,-2.5682142446674545
11,11,544,350,208,0.9999871253967285,0.47952872488151715,0.14160579795158898,1.3388184533604774
13,13,564,533,29,0.828113853931427,0.6082612684738707,1.3195085718216244,0.18666218820891273
15,15,631,487,-661,0.9875333309173584,1.0395152895082553,1.0234237215592112,-4.254610565727287
19,19,643,456,-828,0.9890047907829285,1.1167548156636675,0.8238882789910631,-5.329527304723439
24,24,426,749,-224,0.9999834299087524,-0.2799932823133691,2.7098200426190435,-1.4418044882343604
23,23,527,754,224,0.9999762773513794,0.3701060628280166,2.7420031785171317,1.4418044882343604
26,26,381,1047,-268,0.9986892342567444,-0.5696415053961648,4.627934942145112,-1.7250160841375384
25,25,521,1037,502,0.9465728402137756,0.3314862997503105,4.5635686703489355,3.2311868441680756
26,26,381,1047,-268,0.9986892342567444,-0.5696415053961648,4.627934942145112,-1.7250160841375384
28,28,346,1343,-160,0.9987732768058777,-0.7949234566827835,6.533176587311946,-1.029860348738829
32,32,454,1444,-499,0.9979082345962524,-0.09976772128407405,7.1832759324533315,-3.2118769626292223
27,27,530,1282,966,0.9818876385688782,0.38941594436686966,6.140542329355267,6.217781855510679
31,31,672,1350,777,0.9896446466445923,1.3034170038725803,6.578232977569269,5.001259318562938
