,id,x_px,y_px,z_px,visibility,x,y,z
8,8,118,37,80,0.9997232556343079,0.7151515151515152,0.18686868686868688,0.10596026490066225
7,7,136,50,153,0.9995471835136414,0.8242424242424242,0.25252525252525254,0.20264900662251656
20,20,129,0,9,0.8035791516304016,0.7818181818181819,0.0,0.011920529801324504
16,16,116,12,31,0.8910382390022278,0.703030303030303,0.06060606060606061,0.04105960264900662
14,14,54,57,81,0.9643304944038391,0.32727272727272727,0.2878787878787879,0.10728476821192053
12,12,78,26,140,0.9998655319213867,0.4727272727272727,0.13131313131313133,0.18543046357615894
11,11,144,29,254,0.9995433688163757,0.8727272727272727,0.14646464646464646,0.33642384105960266
13,13,163,46,212,0.23256011307239532,0.9878787878787879,0.23232323232323232,0.280794701986755
15,15,157,10,105,0.20842629671096802,0.9515151515151515,0.050505050505050504,0.1390728476821192
19,19,152,1,90,0.16870340704917908,0.9212121212121213,0.005050505050505051,0.11920529801324503
24,24,34,80,453,0.9999951124191284,0.20606060606060606,0.40404040404040403,0.6
23,23,84,86,565,0.9999740123748779,0.509090909090909,0.43434343434343436,0.7483443708609272
26,26,29,146,222,0.9967418313026428,0.17575757575757575,0.7373737373737373,0.29403973509933773
25,25,165,112,503,0.9494820237159729,1.0,0.5656565656565656,0.6662251655629139
26,26,29,146,222,0.9967418313026428,0.17575757575757575,0.7373737373737373,0.29403973509933773
28,28,7,158,538,0.8596690893173218,0.04242424242424243,0.797979797979798,0.7125827814569536
32,32,0,198,580,0.8747819066047668,0.0,1.0,0.7682119205298014
27,27,122,160,730,0.822145938873291,0.7393939393939394,0.8080808080808081,0.9668874172185431
31,31,127,194,749,0.8791118860244751,0.7696969696969697,0.9797979797979798,0.9920529801324504
