,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,469,199,-92,0.9863743782043457,-0.23412668911920567,-0.48202553642189405,-0.3167596382201018
7,0,7,592,190,-118,0.9985318183898926,0.18936717502288694,-0.5130128923347301,-0.4062786664127393
20,0,20,491,296,-807,0.6108703017234802,-0.1583798191100509,-0.1480507004724389,-2.778532913517632
16,0,16,487,377,-705,0.6918008327484131,-0.1721519772935336,0.13083550274308553,-2.4273428798388235
14,0,14,434,592,-146,0.6381821036338806,-0.3546330732246792,0.87108900510528,-0.502683773697118
12,0,12,392,347,145,0.997386634349823,-0.4992407341512474,0.027544316366965374,0.4992407341512474
11,0,11,682,331,23,0.9999221563339233,0.4992407341512474,-0.027544316366965374,0.07918990955502545
13,0,13,621,580,-227,0.957413911819458,0.2892153218531364,0.8297725305548319,-0.7815699769126425
15,0,15,567,377,-618,0.9769699573516846,0.10329118637612016,0.13083550274308553,-2.127798439348075
19,0,19,567,300,-692,0.9537613987922668,0.10329118637612016,-0.1342785422889562,-2.382583365742505
24,0,24,450,766,18,0.9966953992843628,-0.29954444049074846,1.470177886086777,0.061974711825672095
23,0,23,615,767,-17,0.9986876845359802,0.2685570845779124,1.4736209256326476,-0.05853167227980142
26,0,26,478,1120,-41,0.9805749654769897,-0.20313933320636965,2.6890138853249947,-0.14116462138069755
25,0,25,582,1116,-113,0.991072952747345,0.15493677956418023,2.675241727141512,-0.3890634686833859
26,0,26,478,1120,-41,0.9805749654769897,-0.20313933320636965,2.6890138853249947,-0.14116462138069755
28,0,28,431,1439,536,0.9601868391036987,-0.36496219186229123,3.787343500457739,1.84546919658668
32,0,32,468,1567,151,0.9315603971481323,-0.23756972866507636,4.228052562329185,0.5198989714264715
27,0,27,674,1397,503,0.9811108708381653,0.47169641778428206,3.642735839531171,1.731848891572948
31,0,31,623,1540,112,0.9601730108261108,0.2961014009448778,4.135090494590677,0.38562042913751526
