,id,x_px,y_px,z_px,visibility,x,y,z
8,8,429,87,3167,0.9992461204528809,0.3124544792425346,0.015729524498282407,0.39721560265897404
7,7,862,55,3024,0.9997842907905579,0.627822286962855,0.009943952269029109,0.37928007023705007
20,20,1197,1294,831,0.7979412078857422,0.8718135469774217,0.2339540770204303,0.10422676533299888
16,16,1001,1400,1253,0.898246169090271,0.729060451565914,0.25311878502983187,0.15715539947322213
14,14,183,1591,3325,0.9625852704048157,0.13328477785870357,0.2876514192731875,0.4170324846356453
12,12,135,772,4282,0.9996324777603149,0.09832483612527312,0.13957693003073585,0.5370625862285212
11,11,1248,745,4122,0.9998065829277039,0.9089584850691915,0.13469535346230338,0.5169948576445503
13,13,1373,1609,2967,0.9860785603523254,1.0,0.29090580365214247,0.3721309419290104
15,15,472,1476,605,0.9638187289237976,0.3437727603787327,0.26685951907430844,0.07588109870813997
19,19,257,1317,114,0.9154658913612366,0.18718135469774216,0.23811245706020612,0.014298256616079268
24,24,376,2513,5159,0.9994111061096191,0.2738528769118718,0.45434821912854817,0.6470588235294118
23,23,1005,2537,5377,0.9994730353355408,0.7319737800437,0.45868739830048816,0.6744011037250721
26,26,536,3891,4974,0.988359808921814,0.39038601602330664,0.7034894232507684,0.6238555123541955
25,25,1071,3790,2410,0.9895032644271851,0.7800436999271668,0.6852287109021876,0.3022701617960617
26,26,536,3891,4974,0.988359808921814,0.39038601602330664,0.7034894232507684,0.6238555123541955
28,28,682,5054,7810,0.985460102558136,0.4967225054624909,0.913758813957693,0.9795560015050796
32,32,603,5531,5757,0.9729262590408325,0.43918426802621996,1.0,0.722061959112003
27,27,187,4748,6402,0.9599810242652893,0.13619810633648943,0.8584342795154584,0.8029599899661357
31,31,192,5363,4801,0.9491833448410034,0.13983976693372177,0.9696257457964201,0.6021572808227769
