,id,x_px,y_px,z_px,visibility,x,y,z
0,0,230,113,-498,0.9966925382614136,0.5171102661596958,0.022809123649459785,0.0
7,7,256,112,-347,0.9957762360572815,0.6159695817490495,0.021608643457382955,0.28277153558052437
8,8,198,104,-347,0.9922680258750916,0.39543726235741444,0.012004801920768308,0.28277153558052437
11,11,309,226,-243,0.9998430609703064,0.8174904942965779,0.15846338535414164,0.47752808988764045
12,12,127,224,-215,0.9996928572654724,0.12547528517110265,0.15606242496998798,0.5299625468164794
13,13,357,359,-201,0.8595053553581238,1.0,0.31812725090036015,0.5561797752808989
14,14,94,352,-208,0.8251413702964783,0.0,0.3097238895558223,0.5430711610486891
15,15,308,460,-294,0.7054337859153748,0.8136882129277566,0.43937575030012005,0.38202247191011235
16,16,122,463,-313,0.6785067319869995,0.10646387832699619,0.4429771908763505,0.3464419475655431
19,19,286,479,-348,0.6881603002548218,0.7300380228136882,0.46218487394957986,0.2808988764044944
20,20,141,490,-370,0.6531049013137817,0.17870722433460076,0.47539015606242496,0.2397003745318352
23,23,256,496,-13,0.9995359182357788,0.6159695817490495,0.48259303721488594,0.9082397003745318
24,24,165,496,13,0.9995859265327454,0.26996197718631176,0.48259303721488594,0.9569288389513109
25,25,272,684,-152,0.8803842067718506,0.6768060836501901,0.7082833133253301,0.6479400749063671
26,26,137,676,-138,0.9105948209762573,0.1634980988593156,0.6986794717887155,0.6741573033707865
27,27,250,866,28,0.8985668420791626,0.5931558935361216,0.9267707082833133,0.9850187265917603
28,28,165,870,12,0.9384599328041077,0.26996197718631176,0.9315726290516206,0.9550561797752809
31,31,268,926,-121,0.9009366631507874,0.6615969581749049,0.9987995198079231,0.7059925093632958
32,32,108,927,-129,0.9307276010513306,0.053231939163498096,1.0,0.6910112359550562
