,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,312,320,-148,0.9991318583488464,-0.19825666204133174,-0.5115021880666359,-1.1736794392846839
7,0,7,360,321,-112,0.9994481205940247,0.18239612907802522,-0.5035719215849827,-0.8881898459451663
20,0,20,158,175,-549,0.992212176322937,-1.4195177002159354,-1.66139082790636,-4.353716298427645
16,0,16,163,208,-479,0.996797502040863,-1.379866367807669,-1.3996920340118022,-3.7985976447119163
14,0,14,204,310,-296,0.9935426712036133,-1.0547254420598848,-0.5908048528831686,-2.3473588785693678
12,0,12,274,387,-129,0.9993894100189209,-0.499606788344156,0.019825666204133174,-1.0230043761332719
11,0,11,400,382,-46,0.9997000694274902,0.499606788344156,-0.019825666204133174,-0.36479225815605043
13,0,13,486,311,-120,0.9945163130760193,1.1816097057663373,-0.5828745864015153,-0.9516319777983924
15,0,15,545,219,-303,0.9968594312667847,1.64949542818388,-1.312459102713616,-2.402870743940941
19,0,19,554,187,-371,0.9940138459205627,1.7208678265187596,-1.5662276301265208,-2.942128864693363
24,0,24,292,630,-36,0.9998476505279541,-0.35686199167439714,1.9468804212458777,-0.28548959333951773
23,0,23,383,628,36,0.9998711347579956,0.36479225815605043,1.9310198882825713,0.28548959333951773
26,0,26,253,774,-158,0.9935047626495361,-0.6661423844588746,3.0888387946039484,-1.2529821041012166
25,0,25,440,772,-119,0.9971213936805725,0.8168174476102867,3.072978261640642,-0.9437017113167391
26,0,26,253,774,-158,0.9935047626495361,-0.6661423844588746,3.0888387946039484,-1.2529821041012166
28,0,28,240,885,124,0.9867103695869446,-0.7692358487203672,3.9690983740674617,0.9833530437250054
32,0,32,204,942,-3,0.9660715460777283,-1.0547254420598848,4.421123563521698,-0.02379079944495981
27,0,27,413,890,139,0.9897385239601135,0.6027002526056485,4.008749706475728,1.1023070409498046
31,0,31,468,936,1,0.980682373046875,1.0388649090965782,4.373541964631778,0.00793026648165327
