,id,x_px,y_px,z_px,visibility,x,y,z
8,8,60,13,708,0.9999884366989136,0.31088082901554404,0.026584867075664622,0.5450346420323325
7,7,95,3,610,0.9999973773956299,0.49222797927461137,0.006134969325153374,0.4695919938414165
20,20,1,89,175,0.9872291088104248,0.0051813471502590676,0.18200408997955012,0.13471901462663588
16,16,6,111,266,0.9944703578948975,0.031088082901554404,0.22699386503067484,0.20477290223248654
14,14,29,158,752,0.9612798094749451,0.15025906735751296,0.3231083844580777,0.5789068514241724
12,12,50,79,905,0.9998774528503418,0.25906735751295334,0.16155419222903886,0.6966897613548884
11,11,143,59,698,0.9999837875366211,0.7409326424870466,0.12065439672801637,0.5373364126250962
13,13,193,133,449,0.9992830157279968,1.0,0.2719836400817996,0.34565050038491146
15,15,158,84,78,0.9982742071151733,0.8186528497409327,0.17177914110429449,0.06004618937644342
19,19,143,67,23,0.9927727580070496,0.7409326424870466,0.13701431492842536,0.01770592763664357
24,24,67,227,959,0.9991077780723572,0.3471502590673575,0.46421267893660534,0.7382602001539645
23,23,119,226,771,0.9994696974754333,0.616580310880829,0.4621676891615542,0.5935334872979214
26,26,81,342,1047,0.9832960963249207,0.41968911917098445,0.6993865030674846,0.8060046189376443
25,25,133,342,804,0.9951781034469604,0.689119170984456,0.6993865030674846,0.6189376443418014
26,26,81,342,1047,0.9832960963249207,0.41968911917098445,0.6993865030674846,0.8060046189376443
28,28,97,444,1287,0.9822011590003967,0.5025906735751295,0.9079754601226994,0.9907621247113164
32,32,55,474,1109,0.9799764156341553,0.2849740932642487,0.9693251533742331,0.8537336412625096
27,27,149,450,986,0.99305659532547,0.772020725388601,0.9202453987730062,0.7590454195535027
31,31,145,489,756,0.987694263458252,0.7512953367875648,1.0,0.581986143187067
