,id,x_px,y_px,z_px,visibility,x,y,z
0,0,95,14,0,0.9999855756759644,0.36538461538461536,0.015250544662309368,0.0
7,7,128,3,115,0.9999632835388184,0.49230769230769234,0.0032679738562091504,0.23138832997987926
8,8,70,32,143,0.9999141693115234,0.2692307692307692,0.034858387799564274,0.28772635814889336
11,11,183,154,205,0.9999701976776123,0.7038461538461539,0.16775599128540306,0.4124748490945674
12,12,51,150,236,0.9999295473098755,0.19615384615384615,0.16339869281045752,0.47484909456740443
13,13,260,295,176,0.9829498529434204,1.0,0.3213507625272331,0.35412474849094566
14,14,0,248,257,0.9454022645950317,0.0,0.2701525054466231,0.5171026156941649
15,15,212,462,104,0.5500649213790894,0.8153846153846154,0.5032679738562091,0.20925553319919518
16,16,19,430,247,0.28854259848594666,0.07307692307692308,0.4684095860566449,0.4969818913480885
19,19,190,502,69,0.3988945186138153,0.7307692307692307,0.5468409586056645,0.13883299798792756
20,20,38,474,222,0.15907248854637146,0.14615384615384616,0.5163398692810458,0.44668008048289737
23,23,152,489,459,0.999967098236084,0.5846153846153846,0.5326797385620915,0.9235412474849095
24,24,76,475,478,0.9999659061431885,0.2923076923076923,0.5174291938997821,0.9617706237424547
25,25,167,660,155,0.9871435761451721,0.6423076923076924,0.7189542483660131,0.3118712273641851
26,26,36,620,233,0.9733307361602783,0.13846153846153847,0.6753812636165577,0.4688128772635815
27,27,146,812,389,0.8465771675109863,0.5615384615384615,0.8845315904139434,0.7826961770623743
28,28,74,803,475,0.8635512590408325,0.2846153846153846,0.8747276688453159,0.9557344064386318
31,31,160,918,330,0.746675431728363,0.6153846153846154,1.0,0.6639839034205232
32,32,31,866,427,0.7109188437461853,0.11923076923076924,0.9433551198257081,0.8591549295774648
