,id,x_px,y_px,z_px,visibility,x,y,z
0,0,351,224,-422,0.999963641166687,0.5157894736842106,0.025280898876404494,0.19342359767891681
7,7,371,200,-134,0.9999241828918457,0.5684210526315789,0.0028089887640449437,0.379110251450677
8,8,305,201,-240,0.9998781681060791,0.39473684210526316,0.003745318352059925,0.3107672469374597
11,11,404,339,53,0.9999852180480957,0.6552631578947369,0.13295880149812733,0.4996776273372018
12,12,229,329,-121,0.9999886751174927,0.19473684210526315,0.12359550561797752,0.38749194068343007
13,13,477,495,-100,0.9528934955596924,0.8473684210526315,0.27902621722846443,0.4010315925209542
14,14,155,489,-178,0.9762434363365173,0.0,0.27340823970037453,0.35074145712443583
15,15,432,409,-608,0.9880043268203735,0.7289473684210527,0.19850187265917604,0.0735009671179884
16,16,199,538,-464,0.9886173605918884,0.11578947368421053,0.3192883895131086,0.16634429400386846
19,19,410,380,-722,0.9847936034202576,0.6710526315789473,0.17134831460674158,0.0
20,20,236,524,-574,0.9883661866188049,0.2131578947368421,0.3061797752808989,0.09542230818826564
23,23,408,663,105,0.9999697208404541,0.6657894736842105,0.4363295880149813,0.533204384268214
24,24,310,675,-105,0.9999831914901733,0.40789473684210525,0.44756554307116103,0.3978078658929723
25,25,436,885,351,0.8899662494659424,0.7394736842105263,0.6441947565543071,0.6918117343649258
26,26,299,924,-217,0.997441291809082,0.37894736842105264,0.6807116104868914,0.32559638942617664
27,27,451,1065,797,0.9327266812324524,0.7789473684210526,0.8127340823970037,0.9793681495809156
28,28,266,1188,-198,0.9978669881820679,0.29210526315789476,0.9279026217228464,0.33784655061250807
31,31,535,1106,638,0.9510206580162048,1.0,0.851123595505618,0.8768536428110896
32,32,340,1265,-533,0.9951339364051819,0.4868421052631579,1.0,0.1218568665377176
