,id,x_px,y_px,z_px,visibility,x,y,z
0,0,542,175,-188,0.9999644756317139,0.5798611111111112,0.014263074484944533,0.46893617021276596
7,7,598,176,-67,0.9999721050262451,0.7743055555555556,0.015055467511885896,0.5719148936170213
8,8,526,170,187,0.9999446868896484,0.5243055555555556,0.010301109350237718,0.7880851063829787
11,11,663,325,-179,0.9999606609344482,1.0,0.13312202852614896,0.4765957446808511
12,12,465,308,436,0.9998822212219238,0.3125,0.1196513470681458,1.0
13,13,506,410,-319,0.9492958784103394,0.4548611111111111,0.2004754358161648,0.3574468085106383
14,14,375,408,56,0.5026654601097107,0.0,0.1988906497622821,0.676595744680851
15,15,548,235,-291,0.9488438367843628,0.6006944444444444,0.061806656101426306,0.38127659574468087
16,16,504,253,-629,0.6967476606369019,0.4479166666666667,0.07606973058637084,0.09361702127659574
19,19,577,190,-338,0.9211422801017761,0.7013888888888888,0.026148969889064975,0.34127659574468083
20,20,526,207,-719,0.6470763683319092,0.5243055555555556,0.039619651347068144,0.01702127659574468
23,23,598,716,-211,0.9999855756759644,0.7743055555555556,0.4429477020602219,0.4493617021276596
24,24,461,717,211,0.9999886751174927,0.2986111111111111,0.4437400950871632,0.8085106382978723
25,25,588,1035,-142,0.9588179588317871,0.7395833333333334,0.6957210776545166,0.5080851063829788
26,26,423,1047,125,0.8766908645629883,0.16666666666666666,0.705229793977813,0.7353191489361702
27,27,591,1333,167,0.9800808429718018,0.75,0.9318541996830428,0.7710638297872341
28,28,458,1327,347,0.9594461917877197,0.2881944444444444,0.9270998415213946,0.9242553191489362
31,31,504,1419,-174,0.9789091348648071,0.4479166666666667,1.0,0.4808510638297872
32,32,390,1417,54,0.97220379114151,0.052083333333333336,0.9984152139461173,0.6748936170212766
