,id,x_px,y_px,z_px,visibility,x,y,z
0,0,249,128,-296,0.9999897480010986,0.5186246418338109,0.028119507908611598,0.35294117647058826
7,7,277,116,-151,0.9999920129776001,0.5988538681948424,0.007029876977152899,0.5512995896032832
8,8,237,114,-98,0.9999727010726929,0.48424068767908307,0.0035149384885764497,0.6238030095759234
11,11,313,194,-102,0.9999791383743286,0.7020057306590258,0.14411247803163443,0.6183310533515732
12,12,204,183,38,0.9998576641082764,0.38968481375358166,0.12478031634446397,0.8098495212038304
13,13,338,298,-220,0.9971206784248352,0.7736389684813754,0.3268892794376098,0.45690834473324216
14,14,172,272,-3,0.8666343688964844,0.2979942693409742,0.281195079086116,0.7537619699042407
15,15,389,261,-471,0.9989405274391174,0.9197707736389685,0.2618629173989455,0.11354309165526676
16,16,94,241,-243,0.9765366315841675,0.07449856733524356,0.22671353251318102,0.42544459644322846
19,19,417,245,-554,0.99853515625,1.0,0.23374340949033393,0.0
20,20,68,235,-325,0.9816785454750061,0.0,0.21616871704745166,0.31326949384404923
23,23,265,378,-54,0.9999561309814453,0.5644699140401146,0.46748681898066785,0.6839945280437757
24,24,201,375,53,0.9999409914016724,0.38108882521489973,0.46221441124780316,0.8303693570451436
25,25,268,517,-82,0.9972835779190063,0.5730659025787965,0.7117750439367311,0.6456908344733242
26,26,190,507,5,0.9856098294258118,0.3495702005730659,0.6942003514938488,0.7647058823529411
27,27,253,645,48,0.9982481002807617,0.5300859598853869,0.9367311072056239,0.8235294117647058
28,28,231,631,167,0.9887977242469788,0.4670487106017192,0.9121265377855887,0.9863201094391245
31,31,228,681,-115,0.9982137680053711,0.4584527220630373,1.0,0.600547195622435
32,32,194,675,41,0.9910825490951538,0.36103151862464183,0.9894551845342706,0.813953488372093
